"","current_character","current_dialogue"
"48","                                             QUILL","Its skin is the same thickness from  the inside as from the out!"
"49","                                             QUILL","Gamora, there's a cut on its neck -  Rocket, get it to look up."
"50","                                             QUILL ","Hey, you giant Sea Monkey, up here!"
"51","                                             DRAX","Ha ha! I have single-handedly  vanquished the beast!"
"52","                                             DRAX ","What?"
"53","                                             DRAX","What are they called again?"
"54","                                             QUILL","Anulax batteries."
"55","                                             DRAX","Harbulary batteries."
"56","                                             QUILL","That's nothing like what I just said. But they're worth thousands of units a piece. Which is why the  Sovereign hired us to protect them."
"57","                                             QUILL ","Just be careful what you say around these folks. They're easily offended and the cost of  transgression is death."
"58","                                             DRAX","Sounds judgmental for a bunch of  golden morons."
"59","                                             QUILL","That's the kind of thing you might  want to keep to yourself."
"60","                                             GAMORA","I'll hold my tongue, as long as  they deliver what was promised."
"61","                              AYESHA ","We thank you, Guardians, for putting your life on the line. We could not risk the lives of our own  Sovereign citizens."
"62","                                             AYESHA","Every citizen is born exactly as designed by the community, impeccable, both physically and mentally. We control the DNA of our progeny, germinating them in  birthing pods."
"63","                                             QUILL","I guess I prefer making people the  old-fashioned way."
"64","                                             AYESHA","Well... perhaps someday you could give me a history lesson in the archaic ways of our ancestors...  for academic purposes."
"65","                                             QUILL","Yeah, I mean, if it's for research  that could be pretty --"
"66","                                             QUILL ","Pretty repulsive. I'm not into that  kind of casual -"
"67","                                             GAMORA","Your people promised something in trade for our services. Bring it  and we shall gladly be on our way."
"68","                                             QUILL","Family reunion. Yaaaay."
"69","                                             AYESHA","I understand she is your sister?"
"70","                                             GAMORA","She's worth no more to me than the  bounty due for her on Xandar."
"71","                                             AYESHA","Our soldiers apprehended her attempting to steal the batteries.  Do with her as you please."
"72","                                             QUILL","Thank you, High Priestess Ayesha."
"73","                                             AYESHA","What is your heritage, Mr. Quill?"
"74","                                             QUILL","My mother is from earth."
"75","                                             AYESHA","And your father?"
"76","                                             QUILL","He's... not from Missouri, that's  all I know."
"77","                                             AYESHA","I see it within you, an unorthodox genealogy. A hybrid that seems  particularly... reckless."
"78","                                             ROCKET","You know, they told me you people were conceited douchebags. But that  isn't true at all."
"79","                                             ROCKET ","I'm sorry. That was meant to be  behind your back."
"80","                                             DRAX","Count yourself blessed they didn't  kill you."
"81","                                             ROCKET","You're telling me. You wanna buy  some batteries?"
"82","                                             ROCKET","Let's get baldy back to Xandar and  retrieve that bounty!"
"83","                                             GAMORA","You all right?"
"84","                                             QUILL","That stuff about my father. Who  does she think she is?"
"85","                                             GAMORA","I know you're sensitive about that."
"86","                                             QUILL","I'm not sensitive about it. I just  don't know who he is."
"87","                                             QUILL ","Sorry if it looked like I was  flirting with her. I wasn't."
"88","                                             GAMORA","I don't care if you were."
"89","                                             QUILL","I think you do care. That's why I'm  apologizing."
"90","                                             DRAX","Gamora is not the one for you,  Quill."
"91","                                             DRAX ","There are two types of beings in the universe. Those who dance, and  those who do not."
"92","                                             QUILL","Uh huh."
"93","                                             DRAX","I first met my beloved at a war  rally."
"94","                                             DRAX ","Everyone in the village flailed about, dancing. Except one woman. My Ovette. I knew immediately she  was the one."
"95","                                             DRAX ","The most melodic song in the world could be playing, and she wouldn't even tap her foot. She wouldn't move a muscle. One might assume she  was dead."
"96","                                             QUILL","Well, that is pretty hot, but--"
"97","                                             DRAX","It would make my nether regions  ENGORGE -"
"98","                                             QUILL","All right, okay, fascinating, don't need to hear it. I get your point,  I'm a dancer and Gamora is not."
"99","                                             DRAX","You just need to find a woman who  is pathetic, like you."
"100","                                              NEBULA","I am hungry. Hand me some of that  yaro root."
"101","                                             GAMORA","No. It's not ripe yet. And I hate  you."
"102","                                             NEBULA","You hate me?! You left me there while you stole that stone for yourself. Yet here you stand, a  hero, a Garden of the Galaxy!"
"103","                                             GAMORA","A what?"
"104","                                             GAMORA ","`Guardians of the Galaxy.'"
"105","                                             NEBULA","Oh."
"106","                                             GAMORA","Why would we be `the Gardens of the  Galaxy'?"
"107","                                             NEBULA","I don't know. I thought it was  stupid."
"108","                                             GAMORA","Yeah, it would be."
"109","                                             NEBULA","It's still wordy."
"110","                                             GAMORA","I wasn't the one who thought of it."
"111","                                             NEBULA","Your name doesn't matter. I'll be free of these shackles soon enough,  and I'll kill you, I swear."
"112","                                             GAMORA","No. You'll live out your days in a prison on Xandar, wishing you  could."
"113","                                             QUILL","We got an armed Sovereign fleet,  approaching from the rear."
"114","                                             GAMORA","Why would they do that?!"
"115","                                             DRAX","Probably because Rocket stole some  of their batteries."
"116","                                              ROCKET","Dude."
"117","                                             DRAX","Oh, right. He didn't steal one of those. I don't know why they're  after us. What a mystery this is."
"118","                                             QUILL","What were you thinking?!"
"119","                                             ROCKET","Dude, it was really easy to steal."
"120","                                             GAMORA","That's your defense?"
"121","                                             ROCKET","Come on. You saw how that high- priestess talked down to us! I'm  teaching her a lesson!"
"122","                                             QUILL","Oh! I didn't realize your motivation was altruism. A shame the Sovereign have mistaken your intentions and are trying to kill  us."
"123","                                              ROCKET","Exactly."
"124","                                             QUILL","I WAS BEING SARCASTIC!"
"125","                                             ROCKET","Oh no! You tricked me! You're supposed to use a sarcastic voice!  Now I look foolish!"
"126","                                             QUILL","SHUT UP, DRAX! You knew! You should  have told us!"
"127","                                             DRAX","Did you tell him it was easy to  steal?"
"128","                                             ROCKET","Are you kidding me?"
"129","                                             DRAX","What?"
"130","                                             ROCKET","You never listen to anything!"
"131","                                             GAMORA","None of you listens! Can we please just put the bickering on hold until after we survive the massive  space battle?!"
"132","                                             ROCKET","Whoa. Somebody woke up on the wrong  side of the bed this morning."
"133","                                             QUILL","Do not try to bro down with me right now, dude. I will fricking  punch you in your fricking face."
"134","                                             ROCKET","Real nice! Resorting to violence."
"135","                                             QUILL","More incoming!"
"136","                                             ROCKET","GOOD! I WANT TO KILL SOME GUYS!"
"137","                                             GAMORA","You're not killing anyone. Those  ships are all remotely piloted."
"138","                                             AYESHA","What is the delay, Admiral?"
"139","                                             ADMIRAL","High Priestess, if we destroy their craft, we risk destroying the batteries. They're extraordinarily combustible and could, in turn,  destroy the entire fleet."
"140","                                             AYESHA","We have thousands of batteries and thousands of ships. Our concern is their slight against our people. We hired them and they steal from us?  It is heresy of the highest order."
"141","                                             ADMIRAL","All command modules -"
"142","                                             QUILL","What's the closest habitable  planet?"
"143","                                             GAMORA","It's called Berhert."
"144","                                             QUILL","How many jumps?"
"145","                                             GAMORA","Only one. But the access point is 47 clicks away. And it's through that Quantum Asteroid Field over  there."
"146","                                             DRAX","Quill, to make it through that, you'd have to be the greatest pilot  in the universe."
"147","                                             QUILL","Lucky for us -"
"148","                                             ROCKET","I am."
"149","                                             ROCKET","What are you doing?!"
"150","                                             QUILL","I've been flying this rig since I  was ten years old."
"151","                                             ROCKET","I was cybernetically engineered to  pilot a spacecraft!"
"152","                                             QUILL","You were cybernetically engineered  to be a douchebag."
"153","                                              GAMORA","Stop it!"
"154","                                             ROCKET","Quill, later on tonight you're gonna lay down in your bed and there's gonna be something squishy in your pillowcase and you're gonna be, like, `what's this?' and it's gonna be because I put a turd in  there."
"155","                                              QUILL","You put your turd in my bed, I  shave you."
"156","                                             ROCKET","Oh it won't be my turd, it will be  Drax's."
"157","                                             DRAX","I have famously huge turds."
"158","                                             GAMORA","We're about to die, and this is  what we're discussing?"
"159","                                             DRAX","They raise havoc with the pipes. That's why I do all the plumbing. I take responsibility for my actions.  Unlike some people..."
"160","                                             QUILL","Groot, he's right, you have to  start aiming inside the box."
"161","                                              GAMORA","Stop it."
"162","                                             NEBULA","Idiots!"
"163","                                             ROCKET","Well, that's what you get when  Quill flies."
"164","                                             ROCKET ","Ow!"
"165","                                              GAMORA","There's still a Sovereign craft  behind us!"
"166","                                             QUILL","Our weapons are down!"
"167","                                             GAMORA","Twenty clicks to the jump."
"168","                                             QUILL","Where's he going?"
"169","                                             FRIGHTENED PILOT","Come on, Zylak, you can do this."
"170","                                             DRAX","It's not ripe."
"171","                                             GAMORA","Fifteen clicks."
"172","                                             GAMORA","Ten clicks."
"173","                                             DRAX","Die, spaceship."
"174","                                             FRIGHTENED PILOT","You suck, Zylak."
"175","                                             GAMORA","Five clicks!"
"176","                                             QUILL","Son-of-a-! They went around the  field!"
"177","                                             ADMIRAL","Someone destroyed all the ships."
"178","                                             AYESHA","What?! WHO?!"
"179","                                             ROCKET","What is that?!"
"180","                                             QUILL","Doesn't matter! That's the jump  point! GO! GO!"
"181","                                             ROCKET","It's a guy."
"182","                                                GAMORA","Oh my God."
"183","                                             QUILL","Groot, put on your seat belt!"
"184","                                             QUILL","Prepare for a really bad -"
"185","                                             DRAX","Ow! Ow! Ow! Ow!"
"186","                                             DRAX ","That was awesome."
"187","                                                GAMORA","Either one of you could have gotten us through that field, if you had flown with what's between your ears instead of what's between your  legs!"
"188","                                             QUILL","If what's between my legs had a hand on it, I guarantee I could  have landed this ship."
"189","                                             GAMORA","It's not funny, Peter. We almost  died. Because of your arrogance."
"190","                                              QUILL","More like because he stoled Anulax  batteries!"
"191","                                             DRAX","They're called Harbulary batteries."
"192","                                             QUILL","No, they're not!"
"193","                                             ROCKET","You know why I did it, Star-Munch?"
"194","                                                ROCKET ","Do you?"
"195","                                             QUILL","I'm not going to answer to `Star-  Munch.'"
"196","                                                QUILL","Dick."
"197","                                             ROCKET","What are we even talking about this for? We just had a little man save  us by blowing up fifty ships!"
"198","                                             DRAX","How little?"
"199","                                                ROCKET","Like this."
"200","                                             GAMORA","A little one-inch man saved us?"
"201","                                             ROCKET","Well, if he got closer I'm sure  he'd be much larger."
"202","                                             QUILL","That's how eyes work, you stupid  raccoon."
"203","                                             ROCKET","Don't call me a raccoon!"
"204","                                             QUILL","Oh, I'm sorry, I meant to say  `trash panda.'"
"205","                                             ROCKET","Is that better?"
"206","                                             DRAX","I don't know."
"207","                                             QUILL","It's worse."
"208","                                             ROCKET","YOU SON-OF-A-!!"
"209","                                             NEBULA","Someone followed you through the  jump point."
"210","                                             NEBULA ","Set me free. You'll need my help."
"211","                                             GAMORA","I'm not a fool, Nebula."
"212","                                             NEBULA","You're a fool if you deprive  yourself a hand in combat."
"213","                                             GAMORA","You'll attack me the moment I let  you go."
"214","                                             NEBULA","No, I won't."
"215","                                             QUILL","You'd think an evil supervillain  would learn how to properly lie."
"216","                                             DRAX","I bet it's the one-inch man!!"
"217","                                             MYSTERIOUS MAN","After all these years, I've found  you."
"218","                                             QUILL","Who the hell are you?"
"219","                                             MYSTERIOUS MAN","I figured my rugged good looks would make that obvious. My name's  Ego. And I'm your Dad, Peter."
"220","                              TULLK ","Yondu! Come on down!"
"221","                                             STAKAR","And I was like, Aleta, I love you, but you're crazy now, you always  BEEN -"
"222","                                               YONDU","Stakar."
"223","                                             YONDU ","Been some time. I'd -"
"224","                                             STAKAR","Seems like this establishment is  the wrong kind of disreputable."
"225","                                               YONDU","Stakar..."
"226","                                             STAKAR","There are a hundred Ravager factions, Sneeper. You just lost the business of ninety-nine by  serving one."
"227","                                             PROPRIETOR","Please, sir! Sir!"
"228","                                             YONDU","You all can go to hell! I don't  care what you think of me!"
"229","                                             STAKAR","Then why you following us for?!"
"230","                                             YONDU","`Cause you'll listen to what I got  to say!"
"231","                                             STAKAR","I don't got to listen to nothing! You betrayed the code! Ravagers  don't deal in kids!"
"232","                                             YONDU","I didn't know what was going on -"
"233","                                             STAKAR","You didn't know `cause you didn't want to know, `cause it made you  rich!"
"234","                                             YONDU","I demand a seat at the table! I  wear the flames same as you!"
"235","                                             STAKAR","You may dress like a Ravager but you won't hear no Horns of Freedom when you die, boy, and the Colors of Ogord will not flash over your  grave!"
"236","                                             STAKAR ","You think I take some pleasure in exiling you, you're wrong. You  broke all our hearts."
"237","                                             MONSTROUS RAVAGER","First Quill betrays us and Yondu just lets him go, scot-free. Now he's getting all riled over nothing. We followed him `cause he was the one wasn't afraid to do what needed to be done. Seems like  he's going soft."
"238","                                             KRAGLIN","If he's so soft why you whispering  for?"
"239","                                             MONSTROUS RAVAGER","You know I'm right, Kraglin."
"240","                                             TULLK","You best watch what you say about  the Cap'n, Tay -"
"241","                                             RETCH","Who the hell is that?!"
"242","                                             AYESHA","Yondu Udonta, I have a proposition  for you."
"243","                                             EGO ","I would have done so myself, but I was in the midst of an outlandish adventure at the time, battling demonic forces to save this dimension or some such nonsense - I can't quite recall, it all bleeds together after awhile. But instead of returning you, Yondu kept you. I  have no clue as to why."
"244","                                             QUILL","Because I was a skinny kid who could squeeze into places adults  couldn't, making thieving easier."
"245","                                             EGO","I've been trying to track you down  ever since."
"246","                                             DRAX","I thought Yondu was your father."
"247","                                               QUILL","What?"
"248","                                             QUILL ","We've been together all this time and you thought Yondu was my  actual, blood relative?"
"249","                                             DRAX","You look exactly alike."
"250","                                             ROCKET","One's blue."
"251","                                             QUILL","He wasn't my father. Yondu was the guy who abducted me. He'd beat the crap out of me so I'd learn how to fight and he kept me in terror  threatening to eat me."
"252","                                               EGO","Eat you?!"
"253","                                              QUILL","Yes."
"254","                                             EGO","That son-of-a-bitch."
"255","                                             GAMORA","How'd you locate us now?"
"256","                                             EGO","Even where I reside, out past the edge of what's known, we've heard tell of the man they call Star-  Lord."
"257","                                             EGO ","Say we head out that way now? Your associates are welcome, even that  triangle-faced monkey there."
"258","                                             EGO ","`Scuse me. I gotta take a whizz."
"259","                                             QUILL","Not buying it."
"260","                                             GAMORA","Peter, we need to take a walk."
"261","                                             MANTIS","I am Mantis."
"262","                                             DRAX","What are you doing?"
"263","                                             MANTIS","Smiling. I hear it is the thing to  do to make people like you."
"264","                                             DRAX","Not if you do it like that."
"265","                                             MANTIS","Oh. I was raised alone on Ego's planet. I do not understand the  intricacies of social interaction."
"266","                                             MANTIS ","Can I pet your puppy? It is  adorable."
"267","                                             DRAX","Yes..."
"268","                                             MANTIS","AHH!"
"269","                                             DRAX","That's called a practical joke!"
"270","                                             MANTIS","I liked it very much!"
"271","                                             QUILL","Give me a break! After all this time, and he just expects to be my  Dad all of the sudden!"
"272","                                             GAMORA","I hear you."
"273","                                   QUILL","I mean, this could be a trap - the Kree purists, the Ravagers, now the  Sovereign - they all want us dead."
"274","                                   GAMORA","I know, but -"
"275","                                     QUILL","But what?"
"276","                                   GAMORA","What was that story you told me  about Zardu Hasselfrau?"
"277","                                     QUILL","Who?"
"278","                                   GAMORA","The wonderful television-singer  man. He had a magic boat."
"279","                                   QUILL","David Hasselhoff?"
"280","                                     GAMORA","Right."
"281","                                   QUILL","He had a talking car, not a magic -"
"282","                                   GAMORA","Why did it talk again?"
"283","                                   QUILL","Just to be a good friend, I guess."
"284","                                   GAMORA","And as a child you carried his picture in your pocket, and you told the other children he was your  father, but he was out of town --"
"285","                                   QUILL","Shooting Knight Rider or touring with his band in Germany. Why are you bringing this up now? I was  drunk when I told you that."
"286","                                   GAMORA","I love that story."
"287","                                             QUILL","I don't. It's just sad! I was so sad because I'd see the other kids off playing catch with their dads, and I wanted that, more than  anything in the world."
"288","                                             GAMORA","My point is, maybe this man is your Hasselhoff. I know it's a long shot. But I lost my father as a  child. I'd give anything..."
"289","                                             GAMORA ","If he ends up being evil, we'll  just kill him."
"290","                                             GAMORA ","What's funny?"
"291","                                             NEBULA","You're leaving me with that fox?!"
"292","                                             GAMORA","He's not a fox."
"293","                                             GAMORA ","Shoot her if she does anything  suspicious. Or if you feel like it."
"294","                                             GAMORA ","It will just be a couple days. We'll be back before Rocket's  finished fixing the ship."
"295","                                             DRAX","What about your spool of songs?"
"296","                                             QUILL","I have clones."
"297","                                             DRAX","What if the Sovereign come?"
"298","                                             QUILL","There's no way for them to know  they're here."
"299","                                             DRAX","I am uncertain about parting ways."
"300","                                             QUILL","You're like an old woman."
"301","                                             DRAX","Because I am wise?"
"302","                                             ROCKET","Hope daddy isn't as big of a dick  as you, orphan boy."
"303","                                             QUILL","So what's your goal here? To get everyone to hate you? `Cause it's  working."
"304","                                             QUILL","Can I ask you a personal question?"
"305","                                             MANTIS","Oh, no one has ever asked me a  personal question!"
"306","                                             QUILL","The antennae, what are they for?"
"307","                                             MANTIS","Their purpose?"
"308","                                             DRAX","Yes, Quill and I have a bet."
"309","                                             QUILL","You're not supposed to say that."
"310","                                             DRAX","I say that if you are about to go through a doorway that is too low, your antennae will feel this, and  stop you from being decapitated."
"311","                                             QUILL","Just making clear - if it's anything else - any other answer -  I win?"
"312","                                             MANTIS","They are not for feeling doorways."
"313","                                             DRAX","Damn. I just lost my entire life's  savings."
"314","                                             QUILL","Three pairs of pants."
"315","                                             MANTIS","I think they have something to do  with my empathic abilities."
"316","                                             GAMORA","What are - ?"
"317","                                              MANTIS","If I touch someone I can feel their  FEELINGS -"
"318","                                             QUILL","You read minds?"
"319","                                             MANTIS","No. Telepaths know thoughts.  Empaths feel feelings. Emotions."
"320","                                               MANTIS ","May I?"
"321","                                             MANTIS ","You feel love."
"322","                                             QUILL","Yeah, I guess, yeah, I have sort of a general, unselfish love for  everyone."
"323","                                             MANTIS","No, romantic, sexual love."
"324","                                             QUILL","No. No, I don't."
"325","                                              MANTIS","For her."
"326","                                              QUILL","No."
"327","                                             DRAX","She just told everyone your deepest, darkest secret, Quill!  HAHAHAHAHAHA!!!"
"328","                                             QUILL","What the hell, dude? That's a total  overreaction."
"329","                                             DRAX","DO ME! DO ME!"
"330","                                             MANTIS","I have never felt such humor!"
"331","                                             QUILL","You got to be kidding me."
"332","                                             QUILL ","That's so incredibly uncool."
"333","                                             GAMORA","Touch me. And the only thing you're  going to feel is a broken jaw."
"334","                                             MANTIS","I can also alter emotions, to some  extent."
"335","                                                QUILL","Like what?"
"336","                                             MANTIS","If I touch someone who is sad I can ease them into contentment, for a short while. I can make a stubborn person compliant. But I mostly use it to help my Master sleep. He lies awake at night, thinking about his  progeny."
"337","                                             DRAX","Do one of those on me!"
"338","                                                MANTIS","Sleep."
"339","                                             GAMORA","Is that real?"
"340","                                             QUILL","It's kind of like someone put a baby's head on a big, muscular  body, isn't it?"
"341","                                             TALL RAVAGER","There!"
"342","                                             BRAHL","Ain't so tough now without all your  toys, are you?"
"343","                                             ROCKET","Crap."
"344","                                             YONDU","Hey there, rat."
"345","                                             ROCKET","How's it going, you blue idiot?"
"346","                                             YONDU","Eh, not so bad. We got a pretty good gig. A golden gal with quite a high opinion of herself offered us a large sum to deliver you and your  pals to her, so she can kill y'all."
"347","                                             NEBULA","Your friend. There's too many of  them. They're going to kill him."
"348","                                             NEBULA ","He needs my help. If you care about him, you need to get me out of  these bonds."
"349","                                             YONDU","Pretty easy to find you, since we put a tracer on your ship back  during the War over Xandar."
"350","                                             ROCKET","You give me your word you won't hurt Groot, and I'll tell you where  the batteries are."
"351","                                             YONDU","Lucky for you my word don't mean squat. Otherwise I'd actually hand  you over."
"352","                                             MONSTROUS RAVAGER","Otherwise you'd what?!"
"353","                                             YONDU","We'll take the batteries. They're worth a a quarter mil on the open  MARKET -"
"354","                                             MONSTROUS RAVAGER","That priestess offered us a million! A quarter is only one  third of that!"
"355","                                             YONDU","A quarter ain't one-th -"
"356","                                             OBLO","A quarter is four times a million!  We're in the money!"
"357","                              GEF THE RAVAGER","No, idiot. A quarter is twenty-  five."
"358","                                             YONDU","NO -"
"359","                              GEF THE RAVAGER","We can't even buy a pair of boots  with twenty-five units!"
"360","                                             YONDU","The point is, we aren't stupid enough to help kill the Guardians of the Galaxy. We'd have the whole  Nova Corps on us."
"361","                                             KRAGLIN","That ain't right. I just gotta say  it this one time, Cap'n."
"362","                                             KRAGLIN ","No matter how many times Quill betrays you, you protect him, like none of the rest of us much matter. I'm the one what sticks up for you,  me and Tullk."
"363","                                             MONSTROUS RAVAGER","Damn straight, lad. You're right: he's going soft. S'pose it's time  for a change in leadership!"
"364","                                             KRAGLIN","UH -"
"365","                                             TULLK","Put you damn guns down!"
"366","                                             ROCKET","Hold on! There's got to be some sort of peaceful resolution here! Or even a violent resolution, where  I'm standing over there."
"367","                                             NEBULA","Well, hello, boys."
"368","                                             NEBULA ","It's not ripe."
"369","                                             EGO","Welcome, friends, to my world."
"370","                                             QUILL","Wow. You have your own planet?"
"371","                                             EGO","But a trifle, no larger than your  earth's moon."
"372","                                             DRAX","Humility. I like it. I too, am  extraordinarily humble."
"373","                                             QUILL","It's beautiful."
"374","                                             EGO","Peter, consider this a token of a  father's pride."
"375","                                             EGO ","A memorial to the War Over Xandar, when you single-handedly saved the  galaxy."
"376","                                             GAMORA","Single-handedly?"
"377","                                             QUILL","Whoa. It's perfect."
"378","                                             GAMORA","You've got to be kidding."
"379","                                             DRAX","Why am I dead? Why did you all kill  me?!"
"380","                                             GAMORA","That's Ronan. That's you."
"381","                                             DRAX","When was I that tiny?"
"382","                                             GAMORA","You own a planet and can destroy two dozen spaceships without a  suit. What are you, exactly?"
"383","                                             EGO","I'm what they call a Celestial,  sweetheart."
"384","                                             QUILL","A Celestial. Like a... god?"
"385","                                             EGO","Small `g', son. At least on the  days I'm feeling humble as Drax."
"386","                                             EGO","This form you see before you is only an extension of who I truly am. I don't know where I came from,  exactly."
"387","                                             EGO ","The first thing I remember is flickering, adrift in the cosmos -  utterly and entirely alone."
"388","                                             EGO ","I fed on the matter around me like plankton. I grew smarter and  stronger."
"389","                                             EGO ","I formed a sheathe to protect  myself from the elements."
"390","                                             EGO ","And continued building from there, layer by layer, the very planet you walk on now. I built the spires reaching up to the sky and the  tunnels burrowing into its depths."
"391","                                             QUILL","Wow."
"392","                                             EGO","But I was no ant to be fulfilled solely by labor. I wanted more. I  desired... meaning."
"393","                                             EGO ","There must be some life out there in the universe besides just me, I thought, and I set myself to task  with finding it."
"394","                                             EGO ","I created what I imagined biological life might be like, down  to the most minute detail."
"395","                                             DRAX","Did you make a penis?"
"396","                                             QUILL","Dude."
"397","                                              DRAX","If he's a planet, how did he make a baby with your mother? He would  smush her."
"398","                                             QUILL","I don't need to hear about how my  parents, you know -"
"399","                                             DRAX","Why? My father would tell me the story of impregnating my mother  every winter solstice."
"400","                                             QUILL","That's disgusting."
"401","                                             DRAX","It was beautiful. You earthers have  hang-ups."
"402","                                             EGO","Yes, Drax, I've got a penis."
"403","                                                QUILL","Oh my God."
"404","                                             EGO","It's not half bad. I've also got pain receptors, a digestive system, and all the accompanying junk. I wanted to experience what it truly meant to be human as I set out  amongst the stars."
"405","                                             EGO ","I visited thousands of planets over thousands of years, one barren husk after the next until I found what I  sought..."
"406","                                             EGO ","Life. I was not alone in this  universe after all."
"407","                                             QUILL","When did you meet my mother?"
"408","                                             EGO","Not long after."
"409","                                             EGO ","It was with Meredith that I experienced love for the first time. I called her my river lily.  And from that love, Peter, you."
"410","                                             EGO ","I searched for you for so long. When I heard a man from earth held an Infinity Stone in his hand without dying, I knew you must be  the son of the woman I loved."
"411","                                             QUILL","If you loved her why did you leave  her?"
"412","                              TULLK ","You can't do this!"
"413","                                             TULLK","This is mutiny! Mutiny!"
"414","                                             OBLO","Cap'n, help me! Cap'n?!"
"415","                                             MONSTROUS RAVAGER","You're the one what kilt those men  by leading `em down the wrong path."
"416","                              MONSTROUS RAVAGER ","Because you're weak."
"417","                              MONSTROUS RAVAGER ","And stupid."
"418","                              MONSTROUS RAVAGER ","It's time for the Ravagers to once again rise to glory with a new  Cap'n... TASERFACE."
"419","                                             ROCKET","I'm sorry. Your name is... it's  `Taserface'?"
"420","                                             TASERFACE","That's right."
"421","                                             ROCKET","Do you... shoot tasers out of your  face?"
"422","                                             TASERFACE","It's metaphorical!"
"423","                                               ROCKET","For what?"
"424","                                             TASERFACE","It's a name what strikes fear in  anyone what hears it!"
"425","                                             ROCKET","Really?... Okay, sure."
"426","                                             TASERFACE","You shut up! You're next!"
"427","                                             TASERFACE ","Udonta, I been waiting to do this  for a long ti -"
"428","                                             TASERFACE ","What?! What?!"
"429","                                             ROCKET","I'm sorry, I'm so sorry. I just keep imagining you waking up one morning, looking in the mirror, and, in all seriousness, saying `You know what would be a really  kickass name? Taserface!'"
"430","                                             ROCKET ","What was your second choice?!  Scrotum Hat?!"
"431","                                             TASERFACE","New plan. We're killing you first."
"432","                                             ROCKET","Well, dying is certainly better than having to live an entire life as a moronic shitbag who thinks  `Taserface' is a cool name."
"433","                                             NEBULA","That's enough killing for today."
"434","                                             TASERFACE","Thought you were the biggest sadist  in the galaxy."
"435","                                             NEBULA","- has bounties on his head in at  least twelve Kree provinces."
"436","                                             NEBULA ","I assure you, I am not as easy a mark as an old man without his magic stick or a talking woodland  beast."
"437","                                             NEBULA ","I want ten percent of the take, and  a couple more things."
"438","                                             KRAGLIN","We got a whole box of hands if that  one don't work out."
"439","                                                NEBULA","It's fine."
"440","                                             KRAGLIN","You think them Kree is gonna  execute the Cap'n?"
"441","                                             NEBULA","The Kree consider themselves  merciful. It will be painless."
"442","                                             KRAGLIN","Well, there it is, best ship we got. The location of Ego's planet's in the nav. We'll wire you the ten percent when we's paid. What you  gonna do with your share?"
"443","                                             NEBULA","As a child my father would have Gamora and me battle one another in `training.' Every time my sister prevailed my father would replace a piece of me with machinery, claiming he wanted me to be her equal. But she won, again and again and again. Never once refraining. Because of them, I am this. So after I murder my sister, I will buy a warship with every  conceivable instrument of death."
