"","current_character","current_dialogue"
"33","                          HENRY","I understand our situation, Mr. Fitzgerald. We do like Glass said... put some distance between us and the Arikara, then chart a  course to Fort Union."
"34","                          PIG","Reckon it's better `an lettin' the `Ree find him... take his ears...  slice what's left all to shit."
"35","                          HENRY","So we hike west to the Grand, then  follow it up to Fort Union."
"36","                          FITZGERALD","On foot? You got any idea how long that's gonna take? It'll be winter  before we get there."
"37","                          ANDERSON","Unless we come across a post...  trade for some horses."
"38","                          GLASS","No posts that far out."
"39","                          FITZGERALD","So if we do this, we do every step  with our own feet."
"40","                          HENRY","And gather extra blankets `cause  there won't be any fires."
"41","                          BRIDGER","Thank you... for what you done back  there."
"42","                          GLASS","You'd have done the same for me."
"43","                          FITZGERALD","You treat that Anstadt sweeter than  any woman, Glass."
"44","                          STUBBY BILL","Never seen a woman that could stop  a `Ree from three hundred feet."
"45","                          ANDERSON","I knew a particular big-breasted redhead in Boston that might come  close."
"46","                          FITZGERALD","Bring it over here for me to have a  look."
"47","                          FITZGERALD ","Did you hear what I said, boy?"
"48","                          BRIDGER","You seen it before."
"49","                          FITZGERALD","What'd you say, kid?"
"50","                          BRIDGER","I said you shoulda already got a look when he saved you with it  earlier."
"51","                          FITZGERALD","Else that mighta nicked somethin'."
"52","                          FITZGERALD ","And unlike you, I don't need savin' by him or nobody else. Remember  that."
"53","                          FITZGERALD ","Lemme see what's so special `bout  that shooter of yours."
"54","                          GLASS","Middle of workin' on it."
"55","                          FITZGERALD","Well you can stop workin' on it,  and let me have a look like I said."
"56","                          FITZGERALD ","You forget your place?"
"57","                          GLASS","Best I can tell, my place is right where I want it... on the smart end  of my rifle."
"58","                          FITZGERALD","I'd be careful if I was you, boy."
"59","                          HENRY","If you're passed out when we break  camp tomorrow, I leave you here."
"60","                          FITZGERALD","That's the trouble with this part of the world. No mirrors. Niggers  forget what color they are."
"61","                          HENRY","Can't sleep either?"
"62","                          GLASS","Never like closin' my eyes when I'm not sure who'll be standin' over me  when I open `em."
"63","                          HENRY","I keep thinking about Boone and the others... how maybe I should've had  us make camp further up river."
"64","                          GLASS","You're a good man, Captain. Soon as you realize that, these others  will too."
"65","                          HENRY","Your years trappin' and guidin' out here... have you had much  experience with the Arikara?"
"66","                          GLASS","Enough to try and stay outta their  way."
"67","                          HENRY","But you know this country well enough to get us past them... up to  Fort Union?"
"68","                          GLASS","I been here a long while. Whether  that gets us to Union or not..."
"69","                          HENRY","What Fitzgerald said earlier... he  doesn't speak for the rest."
"70","                          GLASS","He wasn't wrong. Truth is that's what I prefer about this country... it's got no eye for the color of a  man's skin."
"71","                          HENRY","Try to get some sleep, Hugh."
"72","                          STUBBY BILL","Shouldn't we have hit the Grand by  now?"
"73","                          HENRY","We'll reach it soon enough. Glass  said to keep this course."
"74","                          FITZGERALD","Glass said. Too bad I don't see  him."
"75","                          PIG","That's on account he's up ahead makin' sure it's clear, and you get  to keep your ears."
"76","                          FITZGERALD","Or he's run off and left us."
"77","                          BRIDGER","He wouldn't do that."
"78","                          FITZGERALD","My bet, that nigger's used to  runnin'."
"79","                          HENRY","UP AHEAD!"
"80","                          BRIDGER","Christ Almighty."
"81","                          HENRY","Glass!"
"82","                          PIG","HUGH!"
"83","                          BRIDGER","He's down here!"
"84","                          MURPHY","Oh, Jesus."
"85","                          STUBBY BILL","He's tore to pieces."
"86","                          ANDERSON","Least he took that Grizz down with  him."
"87","                          FITZGERALD","Wished he'da done it without firing his rifle. If there wasn't no `Ree  around before, there will be now."
"88","                          HENRY","THAT'S ENOUGH!"
"89","                          BRIDGER","Holy Christ, he's alive."
"90","                          HENRY","Get me some water."
"91","                          BRIDGER","Oh, Jesus... Jesus."
"92","                          HENRY","You're going to be fine."
"93","                          HENRY ","I need some rags before he bleeds  out."
"94","                          HENRY ","And your whiskey."
"95","                          HENRY ","Hold him down, Bridger, goddammit."
"96","                          HENRY ","The rest of you spread out... scout a circle around us. Fitzgerald, you and Anderson take west and north. Murphy and Mike south and east. Watch for anyone that  might've heard that shot."
"97","                          PIG","What about me, Cap?"
"98","                          HENRY","Get down here and help me tie off  these wounds best we can."
"99","                          PIG","It won't stop bleedin'."
"100","                          HENRY","We're fixing you up, Hugh."
"101","                          BRIDGER","It's gonna be fine, Mr. Glass."
"102","                          HENRY","Roll him over... easy."
"103","                          HENRY ","Get me the kit. We need to stitch  his back up."
"104","                          BRIDGER","What about the rest of him?"
"105","                          HENRY","And I don't know what to do with  that yet."
"106","                          HENRY ","I'm sorry for how this is about to  burn, Hugh."
"107","                          ANDERSON","They're torturin' the poor bastard."
"108","                          FITZGERALD","And riskin' gettin' us killed in the process. Proper thing would be  to end it for him quick."
"109","                          ANDERSON","`Less he could pull through."
"110","                          FITZGERALD","You seen what that grizz did to him. Shit, Glass'll be dead inside a hour. We all will be if he keeps  screamin' like that."
"111","                          BRIDGER","What now?"
"112","                          HENRY","We wait. Does he have any kin you  know of?"
"113","                          PIG","He keeps to hisself. Never  mentioned none."
"114","                          HENRY","Go get the others. Tell `em we're  making camp here for the night."
"115","                          HENRY ","And gather some wood, but make sure it's dry. We don't want much smoke  when we cook that grizzly."
"116","           FITZGERALD ","What makes you think you earned a  claw?"
"117","                          FITZGERALD ","You didn't take that grizz down."
"118","                          BRIDGER","It ain't for me."
"119","                          PIG","Whatta you figure his odds are,  Jim?"
"120","                          BRIDGER","Long."
"121","                          MURPHY","What that bear did to him... I  didn't expect he'd last this long."
"122","                          ANDERSON","I seen a fella go a week once after a lion jumped him. Fever finally  finished him off."
"123","                          STUBBY BILL","Whatta we do, Cap?"
"124","                          HENRY","We give him his chance."
"125","                          FITZGERALD","You ain't doin' him or us no favors, Captain, lettin' him suffer  that way."
"126","                          ANDERSON","Fever's hit. Won't be long now."
"127","                          FITZGERALD","I seen a bad one drag on days."
"128","           HENRY ","Quiet, Fitzgerald."
"129","                          FITZGERALD","We keep sittin' here watchin' him die, only gives the `Ree more  chance to find us."
"130","                          BRIDGER","He's burnin', Cap. Water turns to  boil as soon as it touches him."
"131","                          HENRY","Pig, take Anderson and scout ahead. Grand should be just west of here.  Find us the best route."
"132","                          FITZGERALD","Tryin' to buy Glass time don't make  sense for the rest of us, Captain."
"133","                          HENRY","Get movin'."
"134","                          HENRY ","You two can start digging a grave."
"135","                          FITZGERALD","Least it's a step in the right  direction."
"136","                          FITZGERALD","Any coyote digs that deep deserves  the meal."
"137","                          FITZGERALD ","Glass won't know the difference no  ways."
"138","                          PIG","Found it, Cap. Right where Glass  had us headed."
"139","                          ANDERSON","No more than a mile or so out."
"140","                          HENRY","We could build a litter. Haul him  with us."
"141","                          ANDERSON","It's rocky and steep goin'."
"142","                          PIG","Marshy and thick on the other side.  We could try it, but..."
"143","                          FITZGERALD","I signed on as a trapper, not a  goddamn mule."
"144","                          BRIDGER","Shape he's in... I don't see no way  he'd make bein' drug."
"145","                          HENRY","Lay that rag over his eyes, Mr.  Bridger."
"146","                          BRIDGER","But, Captain."
"147","                          HENRY","Do it."
"148","           HENRY ","Step clear, Mr. Bridger."
"149","                          HENRY ","There's a seventy dollar bonus from the Rocky Mountain Fur Company to the two men that stay with Glass... see this through. Then give him a  proper burial."
"150","                          BRIDGER","I'll stay with him... money or not."
"151","                          PIG","Same here."
"152","                          HENRY","I can't let you stay back, Pig. Without Glass, I'll need you to  scout."
"153","                          HENRY ","Just need one more."
"154","                          FITZGERALD","Two won't stand much chance against a party of `Ree, Captain, and seventy dollars won't buy me a new  setta ears."
"155","                          HENRY","A hundred then."
"156","                          BRIDGER","They can have my share too. I owe  Glass that at least."
"157","                          FITZGERALD","That case I'll hang back with the kid. I don't mind fallin' a day or  so behind for two hundred."
"158","                          HENRY","But Glass is to be cared for until.  Understood?"
"159","                          FITZGERALD","I'll let the young doctor do his  job."
"160","                          HENRY","The rest gather your gear."
"161","                          PIG","I'll see ya at Fort Union, Hugh."
"162","                          HENRY","(to Fitzgerald and BRIDGER)  As long as necessary."
"163","                          BRIDGER","I'll look after him."
"164","                          FITZGERALD","I'll take first watch."
"165","                          BRIDGER","Not with his rifle."
"166","                          FITZGERALD","Trust me, kid, he ain't gonna be  needin' it tonight."
"167","                          FITZGERALD","You were right to protect this."
"168","                          FITZGERALD","When are you gonna die, boy?"
"169","                          FITZGERALD ","I'm nearly a week behind Henry's bunch on accounta havin' to tend to you. Be easier on us all if you'd  take that last breath."
"170","                          FITZGERALD ","I could help ya with that if you'd like. Muzzle ya right now... end all this sufferin' quick and easy.  Nobody'd ever know you give up."
"171","                          FITZGERALD ","You just gimme a blink if you want  me to do it."
"172","           BRIDGER ","What's goin' on?"
"173","                          FITZGERALD","Don't you ever question me, you  little piss-ant."
"174","                          FITZGERALD ","But that don't mean I can't be  coaxed into changin' my mind."
"175","                          FITZGERALD ","And I was just doin' your job...  cleanin' him up."
"176","                          FITZGERALD ","I promise ya, you'll look a helluva lot worse than Glass when they're  done with you."
"177","           FITZGERALD ","Bridger! Get your ass up!"
"178","                          FITZGERALD ","`Ree."
"179","                          BRIDGER","What?"
"180","                          FITZGERALD","Keep quiet. I was down at the creek... there's twenty of `em at  least, comin' this way."
"181","                          BRIDGER","Oh, shit. Whatta we do?"
"182","                          FITZGERALD","We run. Now."
"183","                          BRIDGER","What about Glass?"
"184","                          FITZGERALD","He's on his own, same as us."
"185","                          BRIDGER","I can't leave him."
"186","                          FITZGERALD","Then I'm talkin' to a dead man."
"187","                          FITZGERALD ","Move."
"188","                          BRIDGER","What're you doin'? He needs that."
"189","                          FITZGERALD","He couldn't hold it if you tarred  it to his hands."
"190","                          BRIDGER","It's his goddamn rifle! That's all  he's got!"
"191","                          FITZGERALD","And more than he'll need."
"192","                          BRIDGER","We can't leave him with nothin'."
"193","                          FITZGERALD","We ran the better part of six hours. Had to gain some ground on  Henry and them others."
"194","                          BRIDGER","Best douse that smoke before them  `Ree spot it."
"195","                          FITZGERALD","We put enough distance between us and them. And it's too damn cold  to go without one."
"196","                          BRIDGER","All we know, they hoofed it through  the night same as us."
"197","                          FITZGERALD","A dozen `Ree can't make the time us  two did."
"198","                          BRIDGER","It was twenty earlier."
"199","                          FITZGERALD","What?"
"200","                          BRIDGER","When you woke me... you said you'd  spotted twenty `Ree."
"201","                          FITZGERALD","A dozen... twenty. I wasn't in a mood to count feathers. Hell, one  `Ree woulda been too many."
"202","                          BRIDGER","I'd already brought plenty a water."
"203","                          BRIDGER ","Answer me."
"204","                          FITZGERALD","Don't start questionin' me on accounta you feelin' guilty `bout  leavin' your nigger buddy behind."
"205","           ANSWER ME OR I BLOW YOUR DAMN HEAD","OFF!"
"206","                          FITZGERALD","`Cause you was scared shitless,  that's why."
"207","                          BRIDGER","DID YOU SEE `EM?"
"208","                          FITZGERALD","Not a one."
"209","                          FITZGERALD ","So that there is the answer to your  question."
"210","                          FITZGERALD ","And the next time you aim to kill somebody, kid, best remember your  gun won't fire without a flint."
"211","                          BRIDGER","I'm goin' back for him."
"212","                          FITZGERALD","Far as we ran all night, you couldn't find Glass with dogs and a map. And I don't believe you really want to. `Cause after leavin' him to die the first time, I doubt he'd be too happy to see  you now."
"213","                          FITZGERALD ","And just so we're clear. If you try to backtrack without me knowin', or ever get so guilty you  feel the need to tell somebody."
"214","                          FITZGERALD ","I'll have no choice but to gut you  from nuts to nose."
"215","                          FITZGERALD ","Now let's go."
"216","                          SPOTTED HORSE","Griz-lee."
"217","          LEATHER STRAPS SNAPPING AROUND GLASS' WRISTS AND ANKLES...","stretched tight."
"218","                          FITZGERALD","`Bout goddamn time."
"219","                          FITZGERALD ","And we're understood on everything... Glass' dyin' in his sleep... us buryin' him like was  agreed."
"220","                          FITZGERALD ","You're as guilty as me in leavin' him. Don't you forget that. You got a future up here. No sense tossin' it away when he was as good as dead already. Shit, all we did  was skip the funeral."
"221","                          FITZGERALD ","I won't take to givin' up that two- hundred on accounta you gettin'  weak-kneed."
"222","                          FITZGERALD","Twice the folks here than when we  left."
"223","                          BRIDGER","We should go see Captain Henry."
"224","                          FITZGERALD","Far as we hiked... we got time for  a drink on the company's tab."
"225","           PIG ","Jim!"
"226","                          PIG ","You made it! I was scared the `Ree  mighta caught up to ya."
"227","                          FITZGERALD","If your fat ass could get through,  we didn't have no worries."
"228","                          PIG","(off Fitzgerald, to BRIDGER) Had to be a helluva long walk for  you."
"229","                          PIG ","Hugh?"
"230","                          PIG ","Guess we all knowed how it would  turn out. Did he suffer much more?"
"231","                          BRIDGER","I hope not."
"232","                          FITZGERALD","Maybe we best go see Henry, kid. I just got a itch to spend the first  of my two-hundred."
"233","                          FITZGERALD","I won't pretend to been his friend, but I respect any man that fights  the way he done."
"234","                          HENRY","And the grave?"
"235","                          FITZGERALD","We had those extra days so we went deeper... covered it in rocks. To  keep the scavengers off him."
"236","                          HENRY","Any sign of hostiles?"
"237","                          FITZGERALD","Not a one."
"238","                          FITZGERALD ","Truth is, I was worried `bout `Ree, and ready to get movin', but Bridger here argued to stay and  make a cross for the grave."
"239","                          FITZGERALD ","So that's what we did."
"240","                          HENRY","Glad to hear you pulled your weight, Mr. Bridger. I knew you  would."
"241","                          FITZGERALD","More than his share, Captain."
"242","                          HENRY","Speaking of shares."
"243","                          HENRY ","Am I to assume the agreed  arrangement didn't change?"
"244","                          FITZGERALD","Fortunate for me, it did not."
"245","                          HENRY","Well thank you both for your courage and honor. You have done  yourselves proud."
"246","                          HENRY ","You're owed something for what you  did."
"247","                          FITZGERALD","He's beat hisself up most of the  trip... wishin' he'da done more."
"248","                          HENRY","We all saw the shape Glass was in.  There was no more to be done."
"249","                          FITZGERALD","That's what I been tellin' him."
"250","                          GLASS","Thank you."
"251","                          GLASS ","Bad medicine."
"252","                          GLASS ","How long have I been here?"
"253","                          GLASS ","You're Sioux. I only know a bit a  Pawnee."
"254","                          GLASS ","Here. How long?"
"255","                          GLASS","How many suns? Ten?"
"256","                          GLASS ","Ten suns?"
"257","                          GLASS ","Christ."
"258","                          BOYS","Tatanka Wicasa."
"259","           SPOTTED HORSE ","Buff-A-lo Man."
"260","                          GLASS","You speak English."
"261","                          SPOTTED HORSE","Need words when trade with whites."
"262","                          GLASS","Now if you could point me which way it is you do your tradin'... with  the whites."
"263","                          SPOTTED HORSE","Whites. Bra-zo."
"264","                          GLASS","Fort Brazeau? That's where I'm  tryin' to get. Is it far from here?"
"265","                          GLASS ","Far? Long way?"
"266","                          GLASS ","Three days on horse?"
"267","                          SPOTTED HORSE","Not walk. Hides soon."
"268","                          GLASS","The men stole my rifle."
"269","                          GLASS ","They took. They took..."
"270","                          GLASS ","...my rifle. My gear."
"271","                          GLASS ","They left me to die. So I mean to  find `em both. Get my rifle back."
"272","                          SPOTTED HORSE","Red Hawk ask who kill griz-lee."
"273","                          GLASS","Grizzly?"
"274","                          RED HAWK","Arikara."
"275","                          SPOTTED HORSE","He say Arikara take right ear of Sioux. Left ear of whites. Not  know what they take from you."
"276","                          SPOTTED HORSE","Buff-A-lo Man hunt with Sioux?"
"277","                          THREE FEATHERS","Tatanka Wicasa."
"278","                          BOYS","Tatanka Wicasa! Tatanka Wicasa!"
"279","                          GLASS","Thank you."
"280","                          SPOTTED HORSE","Good hunt."
"281","                          GLASS","Yes."
"282","                          SPOTTED HORSE","You. Fam-i-lee?"
"283","                          GLASS","No."
"284","                          SPOTTED HORSE","Wakayaja?"
"285","                          GLASS","No. Not for a long time."
"286","                          GLASS","Tatanka Wicasa."
"287","                          GLASS","Nice."
"288","                          SPOTTED HORSE","Nice."
"289","                          FITZGERALD","No... please."
"290","                          SPOTTED HORSE","We go."
"291","                          BRAZEAU","We make good trades then."
"292","                          BRAZEAU ","Monsieur Glass?"
"293","                          GLASS","Good to see you again, Mr. Brazeau."
"294","                          BRAZEAU","Jesus Christ, what happened to your  goddamned face?"
"295","                          GLASS","Had a tussle with a grizzly."
"296","                          BRAZEAU","And now the grizzly, he don't look  so good either, eh?"
"297","                          BRAZEAU ","You run with the Sioux these days?"
"298","                          GLASS","They looked after me for a spell. I'm on my way to catch back up with Captain Henry... at Fort Union. Needed to trade for some supplies  on the Company's credit if I could."
"299","                          BRAZEAU","Oui, of course. Anything you like."
"300","                          GLASS","We can start with this."
"301","                          BRAZEAU","I wish I could give you a room for  the night, but..."
"302","                          BRAZEAU ","I cannot risk the trouble of  letting a colored stay inside."
"303","                          GLASS","Won't be the last night I sleep on  the ground."
"304","                          BRAZEAU","Take care of that face, Glass."
"305","                          GLASS","You stay here tonight?"
"306","                          SPOTTED HORSE","Your people?"
"307","                          GLASS","No."
"308","                          SPOTTED HORSE","You come then."
"309","                          GLASS","Fort Union."
"310","                          SPOTTED HORSE","You spend your life hunting enemy.  Enemy wins."
"311","                          GLASS","It will be over soon."
"312","                          GLASS ","Thank you."
"313","                          FITZGERALD","I had enough of this cold as hell  shit."
"314","                          ANDERSON","What'd you figure when ya signed on outta that St. Louis whorehouse you was workin'? That you was headin'  off to paradise?"
"315","                          FITZGERALD","I tell ya what I figured, I figured I'd be somewhere the piss wouldn't freeze before I got it outta my  pecker."
"316","                          BRIDGER","Figured wrong."
"317","                          FITZGERALD","Waste a time to check traps in this weather... while Henry sits warmin'  his ass on the stove in his office."
"318","                          STUBBY BILL","Why don't you go tell him that, Fitz? Then start your hike back to  St. Louie."
"319","                          FITZGERALD","Shit, I walked up here, I got no  problem walkin' back."
"320","                          MURPHY","Contracted for twelve months. We  all did."
"321","                          FITZGERALD","Henry can shove that contract up his toasty warm ass, or I'll do it  for him."
"322","                          FITZGERALD ","You don't think I will?"
"323","                          ANDERSON","Just give that fat little whore you're so sweet on a couple extra bits... she'll have you thinkin'  it's Spring already."
"324","                          FITZGERALD","Hello? Captain?"
"325","           MURPHY ","Where're you headed?"
"326","                          FITZGERALD","To the river, Murphy."
"327","                          MURPHY","That you, Fitzgerald?"
"328","                          FITZGERALD","Left my rifle down there... don't  want it out all night."
"329","                          MURPHY","That weren't too smart."
"330","                          FITZGERALD","Just don't take a shot at me when I  come back in."
"331","                          MURPHY","We'll see."
"332","                          FITZGERALD","Not that you'd hit me if you tried."
"333","                          GLASS","(struggling to make his frozen lips move)  I'm Hugh Glass of..."
"334","                          RUNTY MAN","We don't serve niggers."
"335","                          GLASS","Of the Rocky Mountain Fur Company  on my way to Fort Union."
"336","                          RUNTY MAN","I don't care if you was with Lewis and Clark headed for the new world.  We don't serve niggers."
"337","                          GLASS","All I need is a horse and enough  supplies to..."
"338","                          TRAPPER","Ice musta froze up his ears, `cause  he ain't listenin' to you, Cees."
"339","                          GLASS","...to get me to Fort Union. I can sign a draft made good by Captain  Henry."
"340","                          RUNTY MAN","What the fuck happened to your face, boy? You try to slice all  the black off?"
"341","                          TRAPPER #2","Maybe we oughta help him do it  right."
"342","                          FAT TRAPPER","Best get on your way, boy."
"343","                          GLASS","I'm Hugh Glass of the Rocky Mountain Fur Company, and all I  need is..."
"344","                          RUNTY MAN","Do you believe this shit?"
"345","                          FAT TRAPPER","Hell, I warned ya."
"346","                          GLASS","All I need..."
"347","                          GLASS ","...is a horse and enough supplies  to get me to Fort Union."
"348","                          GLASS ","And this shooter here. All made good by Captain Henry and The Rocky  Mountain Fur Company."
"349","                          RUNTY MAN","Shoot him, goddammit!"
"350","                          TRAPPER #2","I can't get a clear look."
"351","                          RUNTY MAN","Shoot `em both!"
"352","                          RUNTY MAN","Get after the son of a bitch!"
"353","                          TRAPPER #2","It's cold as hell, Cees."
"354","                          FAT TRAPPER","And he did say to put it all on the  Rocky Mountain tab."
"355","                          STUBBY BILL","Jesus Christ."
"356","                          BRIDGER","I'm sorry."
"357","                          GLASS","You took everything I had... left  me to die."
"358","                          GLASS ","Why?"
"359","                          BRIDGER","But every day since, I've wished I  had."
"360","                          GLASS","There wasn't no `Ree that night,  was there?"
"361","                          BRIDGER","No."
"362","                          HENRY","Hugh. Wait."
"363","                          GLASS","Where's Fitzgerald and my rifle?"
"364","                          HENRY","Let's get some coffee to warm you up. (to Glass, but looking at BRIDGER)  I wanna hear what happened."
"365","                          BRIDGER","Wait. Please!"
"366","                          GLASS","I cut the shoes loose of her, and  hiked over to Fort Talbot."
"367","                          STUBBY BILL","Christ almighty."
"368","                          GLASS","And you may hear from the fella there about a stoled horse and  supplies charged to you."
"369","                          HENRY","We'll take care of it. You should  go settle in."
"370","                          MURPHY","There's a couple fair whores next door that'll ease the miles on ya,  scars or not."
"371","                          ANDERSON","Jesus, Murph."
"372","                          MURPHY","I just meant I'd go roust one of  `em for ya if you wanted."
"373","                          GLASS","She can take the night off, but I  wouldn't mind the use of her bed."
"374","                          HENRY","Go clear out a room. The rest head  on back to bunk."
"375","                          PIG","I told ya I'd see ya up here. You  remember that, Hugh?"
"376","                          GLASS","I do, Pig. You must have a little  gypsy in ya."
"377","                          PIG","I'll see ya in the mornin'."
"378","                          HENRY","Can I talk you outta what you're  planning?"
"379","                          GLASS","Thank you for what you done for me... stitchin' me back together...  givin' me a chance."
"380","                          HENRY","I'm offerin' you another right now... to stay here... let this  thing go."
"381","                          GLASS","He thinks he let me die. But he don't know that he's the one that's kept me alive... for the chance of findin' him... makin' him pay for  what he done."
"382","                          HENRY","The law will make Fitzgerald pay."
"383","                          GLASS","Do you, Captain?"
"384","                          GLASS ","I thank you for the coffee."
"385","                          MURPHY","He said he was goin' to get his  rifle..."
"386","                          MURPHY ","Your rifle. But he never showed back up. The next day I figured him mighta fell in, but then Pig  seen the canoe was missin'."
"387","                          PIG","And the Captain found the money  gone."
"388","                          GLASS","I'll make my way down river. See  what turns up."
"389","                          STUBBY BILL","The kid's gone... gear and all.  Musta slipped out before light."
"390","                          HENRY","""Every day I think about what I done. I want to tell Pig and the others the truth but am afraid what they'll think of me. I look at Fitzgerald and want to kill him but am afraid to try. I am a coward and wish he hadn't been lyin about the Ree that night. I wish they  had come and kilt us both."""
"391","                          GLASS","If I run across the boy, I'll send  him back your way."
"392","                          GLASS ","Where're you headed?"
"393","                          HENRY","Fitzgerald stole five hundred dollars. Rocky Mountain Fur  Company wants him too."
"394","                          GLASS","I can do this on my own."
"395","                          HENRY","I know you can. But maybe you  won't have to."
"396","                          RUNTY MAN","We ain't got no food to spare, friend, if that's what you're  lookin' for."
"397","                          FITZGERALD","Then what the hell have ya got?"
"398","                          RUNTY MAN","Whiskey and blankets mostly.  Weather's held back deliveries."
"399","                          FITZGERALD","Gimme a couple bottles then. Goddamn ice shredded my boat. Been  walkin' for two days."
"400","                          FITZGERALD ","How much for one of them horses out  there?"
"401","                          RUNTY MAN","Horses ain't cheap this time a  year."
"402","                          FITZGERALD","Whatever the price, Rocky Mountain  Fur Company's good for it."
"403","                          RUNTY MAN","You're the second son of a bitch come in here makin' that claim.  And the first one left a bad taste."
"404","                          FITZGERALD","That right? Well I don't know nothin' about that. Just that I  need a horse."
"405","                          RUNTY MAN","So did this other fella. So he stole one... along with Lange's  pistola."
"406","                          FITZGERALD","Fine then, I'll pay cash for the  horse. How much?"
"407","                          RUNTY MAN","How `bout you pay for your friend's  too."
"408","                          TRAPPER #1","And my shooter."
"409","                          FITZGERALD","Wasn't my friend."
"410","                          TRAPPER #1","Then from where I stand, you don't  got no friends at all."
"411","                          FITZGERALD","Yeah, okay. I'll collect from him.  How much?"
"412","                          RUNTY MAN","How `bout we say eighty... (sees Fitzgerald doesn't ARGUE)  ...five."
"413","                          FITZGERALD","You boys are leavin' me with nothin'. Better be a helluva  horse."
"414","                          RUNTY MAN","Pick of the litter."
"415","                          FITZGERALD","When I see who?"
"416","                          RUNTY MAN","The black son of a bitch that  robbed me. You tell him that."
"417","                          FITZGERALD","Scarred up, you say... and headed  up to Union?"
"418","                          RUNTY MAN","That's what he told us. Seemed  real anxious to get there too."
"419","                          FITZGERALD","I'll make sure to give him the  message when I find him."
"420","                          HENRY","Hugh."
"421","                          HENRY ","That's it."
"422","                          GLASS","Ice tore it up."
"423","                          GLASS ","If the snow holds off, we'll have a  good trail to track."
"424","                          HENRY","What's out that direction? Talbot?"
"425","                          GLASS","And the Missouri. Doubt he'd risk the river with the `Ree. Likely grab a horse, and cross over high... take his chances goin' east against the weather. When'd you  say he skipped out?"
"426","                          HENRY","Three days ago now."
"427","                          GLASS","We best pick up our pace."
"428","                          HENRY","This was Fitzgerald camped here?"
"429","                          GLASS","Couple nights back. But these  tracks aren't all his."
"430","                          HENRY","He's travelin' with somebody?"
"431","                          GLASS","Came in after. Prints are smooth.  Mocassins."
"432","                          GLASS ","Could be Sioux... Blackfoot even."
"433","                          HENRY","But you figure they're `Ree."
"434","                          GLASS","I don't figure nothin', Captain. But whoever it is, they're a good  day behind Fitzgerald."
"435","                          GLASS ","And they're on his trail too, so we should keep it quiet... don't  announce we're back here."
"436","                          HENRY","You told me once you knew enough to  keep away from the `Ree."
"437","                          GLASS","I do."
"438","                          HENRY","You figure this is smart then?"
"439","                          GLASS","You're welcome to head back,  Captain."
"440","                          HENRY","What if we find Fitzgerald... and I  ask you not to do this?"
"441","                          GLASS","Don't ask me."
"442","                          HENRY","`Ree?"
"443","                          HENRY ","There!"
"444","                          GLASS","Wait!"
"445","                          HENRY","So much for stayin' quiet."
"446","                          HENRY","Guess you would've been better off  on your own."
"447","                          GLASS","We needed to pick up some time  anyways."
"448","                          HENRY","Whatta ya got?"
"449","                          GLASS","Smoke."
"450","                          GLASS ","I'll head in from the west... you  take the east."
"451","                          HENRY","What if it's `Ree?"
"452","                          GLASS","Then we leave `em be... meet back  up here."
"453","                          FITZGERALD","Didn't figure an important man like you to be away from your stove on a night as cold as this, Captain.  You lost?"
"454","                          HENRY","I'm here to save your life."
"455","                          FITZGERALD","I done told you boys... I don't  need savin' by you or nobody else."
"456","                          GLASS","You shouldn't a come."
"457","                          GLASS ","(repeating Spotted Horse's words under his breath) Arikara take right ear of Sioux. Left ear of whites. Not know what  they take from you."
"458","                          FITZGERALD","Glass... please!"
